masked_id,asof_yyyymm,age,tenure_altered,checking_acct_ct,savings_acct_ct,mortgage_flag,heloc_flag,personal_loan_flag,cc_flag,prot_acct_flag,check_bal_altered,sav_bal_altered,mortgage_bal_altered,heloc_bal_altered,personal_loan_bal_altered,atm_withdrawls_cnt,atm_deposits_cnt,branch_visit_cnt,phone_banker_cnt,mobile_bank_cnt,online_bank_cnt,direct_mail_cnt,direct_email_cnt,direct_phone_cnt
12,201612,90,43.00,2,2,0,0,0,1,0,18471.67,104300.12,0.00,0.00,0.00,0,0,13,0,0,0,0,0,0
12,201611,90,42.92,2,2,0,0,0,1,0,10294.02,107873.38,0.00,0.00,0.00,0,0,11,0,0,1,0,1,3
12,201610,90,42.84,2,2,0,0,0,1,0,9064.87,101798.89,0.00,0.00,0.00,0,0,13,0,0,0,0,0,3
12,201609,89,42.75,2,2,0,0,0,1,0,13502.31,98368.59,0.00,0.00,0.00,0,0,19,0,0,1,0,1,5
12,201608,89,42.67,2,2,0,0,0,1,0,7271.11,360590.25,0.00,0.00,0.00,0,0,12,0,0,0,0,0,2
12,201607,89,42.59,2,2,0,0,0,1,0,6400.79,312735.43,0.00,0.00,0.00,0,0,14,0,0,0,0,0,0
33,201612,54,19.12,4,2,0,0,0,0,0,87012.90,38021.01,0.00,0.00,0.00,0,0,7,0,0,8,0,10,0
33,201611,54,19.03,4,2,0,0,0,0,0,86434.82,38020.97,0.00,0.00,0.00,0,0,12,4,0,11,0,28,2
33,201610,54,18.95,4,2,0,0,0,0,0,86199.56,38020.94,0.00,0.00,0.00,0,0,14,2,0,12,1,15,3
33,201609,54,18.87,4,2,0,0,0,0,0,82621.27,45217.78,0.00,0.00,0.00,0,0,11,0,0,10,1,3,1
33,201608,54,18.79,4,2,0,0,0,0,0,79456.64,45217.69,0.00,0.00,0.00,0,0,9,0,0,13,1,8,0
33,201607,54,18.71,4,2,0,0,0,0,0,74095.86,45217.58,0.00,0.00,0.00,0,0,6,0,0,9,0,9,0
26,201612,56,29.32,3,3,0,0,0,1,0,4727.08,1247.21,0.00,0.00,0.00,0,0,17,0,0,22,0,7,0
26,201611,56,29.24,3,3,0,0,0,1,0,1080.90,3210.25,0.00,0.00,0.00,0,0,15,0,0,23,1,11,0
