masked_id,check_bal_altered,sav_bal_altered
12,18471.67,104300.12
12,10294.02,107873.38
12,9064.87,101798.89
12,13502.31,98368.59
12,7271.11,360590.25
12,6400.79,312735.43
33,87012.9,38021.01
33,86434.82,38020.97
33,86199.56,38020.94
33,82621.27,45217.78
33,79456.64,45217.69
33,74095.86,45217.58
26,4727.08,1247.21
26,1080.9,3210.25
26,2598.7,3230.26
26,6384.89,1279.25
26,9580.85,12935.36
26,21589.38,32455.36
4,3988.13,5625.02
4,3749.98,6757.4
4,4226.51,11480.06
4,4464.81,8521.84
4,2808.3,12322.14
4,5578.52,21258.31
44,11665.32,241331.5
44,8454.44,241311.01
44,4789.53,241291.17
44,11113.89,231571.48
44,9411.72,231552.45
44,7423.71,231532.79
14,13438.49,76534.46
14,16660.13,77239
14,5383.14,75906.6
14,9351.32,74574.26
14,9101.68,78091.96
14,9072.89,76759.42
6,4556.68,36718.05
6,1764.5,38947.75
6,1775.18,38906.69
6,2729.6,38886
6,3745.51,40469.04
6,3846.85,40420.21
41,14959.2,29320.74
41,19301.08,29320.51
41,7402.8,29247.52
41,7516.73,29174.52
41,13567.09,33951.45
41,6933.37,46368.08
20,3074.2,59174.02
20,3187.07,60143.55
20,2358.28,60143.02
20,3041.48,60627.53
20,627.79,66446.94
20,1778.89,63051.97
39,29036.97,304232.41
39,29070.86,304219.48
39,31854.87,304206.98
39,33154.25,304183.24
39,34735.49,304145.74
39,36313.45,304106.99
27,153.87,87644.8
27,95.98,88592.46
27,434.72,89263.56
27,259.62,89516.98
27,106.53,87942.06
27,168.86,87590.93
35,21141.45,18350.16
35,10088.55,21890.86
35,8694.15,23378.91
35,9361.18,27452.31
35,7375.72,33593.33
35,21467.48,42385.61
5,2179.39,0
5,793.94,3786.99
5,1213.56,4853.88
5,2387.45,5144.76
5,1335.79,49667.2
5,2577.28,49471.93
21,5094.09,180818.47
21,7914.08,182980.03
21,8881.19,181158.19
21,12715.61,176579.29
21,12806.52,185106.72
21,6656.51,190538.2
7,519.72,82971.65
7,2722.5,82963.92
7,1765.4,91653.01
7,370.29,102023.39
7,2896.79,114005.67
7,464.82,145508.62
32,5016.96,0
32,4008.06,3967.53
32,3823.73,8590.61
32,3923.58,13409.08
32,3784.61,21353.25
32,3988.77,25553.15
23,12933.85,12190.04
23,6212.85,18979.89
23,6212.85,18979.74
23,6212.85,18979.58
23,6212.85,18979.41
23,5884.92,10438.12
37,32007.24,67151.97
37,29790.43,67147.41
37,36847.43,67142.99
37,29556.03,57435.62
37,26501.28,51207.71
37,31639.09,26944.84
47,52586.13,1036516.3
47,43650.4,1036463.47
47,40394.72,1036412.36
47,33592.59,1036359.54
47,27677.63,1036308.44
47,21997.78,1036255.64
34,16223.92,295821.49
34,15601.06,295796.85
34,15135.1,295773
34,17392.48,295748.35
34,16362.9,295724.5
34,15586.74,295699.86
46,8912.7,578637.54
46,8083.45,557058.97
46,12052.44,580516.14
46,10358.88,582897.23
46,7797.8,582825.37
46,12135.43,582751.11
18,2679.67,29110.5
18,2679.67,29110.26
18,2679.67,29110.03
18,2679.67,29109.78
18,2679.67,29109.53
18,2679.67,29109.31
11,5724.58,31716.29
11,7169.29,33171.01
11,4314.07,37744.27
11,6196.31,35803.96
11,5332.53,36773.67
11,6565.93,35803.35
42,6620.24,104216.57
42,14586.63,120594.08
42,14266.42,139703.89
42,24438.27,149062.83
42,11413.86,168365.45
42,7375.15,172993.79
30,19794.81,1456972.4
30,23910.36,1456884.97
30,16875.02,242800.11
30,12766.73,257337.29
30,11383.96,271874.16
